tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2009-04-01,1192,MORON Nº 07,Buenos Aires,Protocolo 21,2009,02,SEDAN 4 PTAS,055,HONDA,B30,CIVIC LXS,1,Privado,Física,CASTELAR,BUENOS AIRES,Masculino,1973,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,1999-09-17,1192,MORON Nº 07,Buenos Aires,Protocolo 21,1999,05,SEDAN 5 PUERTAS,044,FIAT,487,UNO S 1.3,1,Privado,Física,CASTELAR,BUENOS AIRES,Masculino,2002,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2017-09-26,1194,AVELLANEDA Nº 5,Buenos Aires,Nacional,2017,17,SEDAN 5 PUERTAS,17,FIAT,AY,PALIO (326) ATTRACTIVE 5P 1.4 8V,1,Privado,Física,AVELLANEDA,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2014-02-17,1195,TIGRE Nº 3,Buenos Aires,Nacional,2014,17,SEDAN 5 PUERTAS,34,PEUGEOT,MC,207 COMPACT ALLURE 1.4 HDI 5P,1,Privado,Física,TIGRE,BUENOS AIRES,No identificado,1997,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2015-03-25,1197,SAN ISIDRO Nº 06,Buenos Aires,Nacional,2015,17,SEDAN 5 PUERTAS,19,FORD,XC,FOCUS 5P 2.0L N MT SE,1,Privado,Física,BOULOGNE,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2013-06-19,1202,MAR DEL PLATA Nº 09,Buenos Aires,Nacional,2013,17,SEDAN 5 PUERTAS,34,PEUGEOT,LZ,207 COMPACT ACTIVE 1.4 N 5P,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Femenino,1996,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2009-09-02,1202,MAR DEL PLATA Nº 09,Buenos Aires,Nacional,2009,22,FURGON VIDRIADO C/ASIENTOS,07,CITROEN,43,BERLINGO FURGON 1.9D FULL,1,Privado,Física,MAR DEL PLATA,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,1997-09-09,1206,OLIVOS Nº 07,Buenos Aires,Importado,1997,05,SEDAN 5 PTAS,136,VOLKSWAGEN,142,GOLF GL 1.8,1,Privado,Física,FLORIDA,BUENOS AIRES,Masculino,1993,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2011-03-01,1209,BERAZATEGUI Nº 3,Buenos Aires,Importado,2011,04,RURAL 5 PTAS,158,DODGE,117,JOURNEY SXT 2.4,1,Privado,Física,HUDSON,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-21,2015-12-10,1218,MORON Nº 04 (EX. MORON Nº 9 RESOL. MJS. Y DHNº 1487/09),Buenos Aires,Protocolo 21,2015,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,413,GOL TREND 1.6,1,Privado,Física,CASTELAR,BUENOS AIRES,Masculino,1996,ARGENTINA,100,06,200
