tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,registro_seccional_descripcion,registro_seccional_provincia,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,titular_tipo_persona,titular_domicilio_localidad,titular_domicilio_provincia,titular_genero,titular_anio_nacimiento,titular_pais_nacimiento,titular_porcentaje_titularidad,titular_domicilio_provincia_id,titular_pais_nacimiento_id
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2016-01-25,4035,CORDOBA Nº 05,Córdoba,Protocolo 21,2016,82,PICK-UP CABINA DOBLE,044,FIAT,714,STRADA ADVENTURE 1.6,1,Privado,Física,CORDOBA,CORDOBA,Masculino,1980,ARGENTINA,100,14,200
COMUNICACIÓN DE RECUPERO,2026-01-02,1993-02-12,4038,CORDOBA Nº 07,Córdoba,Nacional,1993,22,FURGON,37,RENAULT,37,TRAFIC,1,Privado,Física,CORDOBA.-,CORDOBA,No identificado,1967,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2009-01-05,4062,CORDOBA Nº 19,Córdoba,Protocolo 21,2009,05,SEDAN 5 PUERTAS,127,SUZUKI,706,FUN 1.4,1,Privado,Física,CORDOBA,CORDOBA,Femenino,2005,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2011-02-17,4069,RIO CEBALLOS,Córdoba,Protocolo 21,2011,02,SEDAN 4 PTAS,104,PEUGEOT,586,207 COMPACT XS 1.4,1,Privado,Física,UNQUILLO,CORDOBA,Masculino,1958,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2000-05-26,4078,CORDOBA Nº 24,Córdoba,Nacional,2000,18,SEDAN 3 PTAS,17,FIAT,72,PALIO S 1.3 MPI 3P,1,Privado,Física,CORDOBA,CORDOBA,Femenino,2001,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2006-04-17,4079,JESUS MARIA Nº 3,Córdoba,Protocolo 21,2006,11,PICK UP,024,CHEVROLET,394,S10 2.8TDI LIMITED 4X4 CAB.DOBLE,1,Privado,Física,JESÚS MARÍA,CORDOBA,Femenino,1974,ARGENTINA,100,14,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2021-11-24,9001,CLORINDA,Formosa,Nacional,2021,20,PICK-UP,68,TOYOTA,BH,HILUX 4X4 DC SRX 2.8 TDI 6 AT,1,Privado,Física,CLORINDA,FORMOSA,Femenino,1992,ARGENTINA,100,34,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2014-01-22,13002,MENDOZA Nº 02,Mendoza,Nacional,2014,12,SEDAN 4 PUERTAS,37,RENAULT,WU,FLUENCE 2.0 16V LUXE,1,Privado,Física,VILLA NUEVA,MENDOZA,Masculino,1991,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1993-10-27,13010,MENDOZA Nº 04,Mendoza,Nacional,1993,12,SEDAN 4 PUERTAS,37,RENAULT,81,R-12 TL (MOTOR 1.6),1,Privado,Física,LOS CORRALITOS,MENDOZA,Masculino,1957,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1999-07-27,13010,MENDOZA Nº 04,Mendoza,Protocolo 21,1999,11,PICK UP,047,FORD,266,F-100 4X2,1,Privado,Física,LOS CORRALITOS,MENDOZA,Masculino,1983,BOLIVIA,100,50,202
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2004-07-20,13020,MENDOZA Nº 12,Mendoza,Nacional,2004,18,SEDAN 3 PTAS,08,CHEVROLET,BF,CORSA CLASSIC 3P AA+DIR+CD 1.6,1,Privado,Física,CIUDAD,MENDOZA,Masculino,1988,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2020-07-07,1005,AVELLANEDA Nº 2,Buenos Aires,Nacional,2020,17,SEDAN 5 PUERTAS,37,RENAULT,3V,SANDERO PH2 LIFE 1.6,1,Privado,Física,SARANDÍ,BUENOS AIRES,Femenino,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-02-17,13030,MENDOZA Nº 18,Mendoza,Protocolo 21,2012,22,SEDAN 3 PUERTAS,044,FIAT,715,PALIO 1.4,1,Privado,Física,EL RESGUARDO,MENDOZA,Masculino,1993,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2021-12-01,1032,GENERAL ARENALES,Buenos Aires,Nacional,2021,17,SEDAN 5 PUERTAS,34,PEUGEOT,RA,208 LIKE PACK 1.6L,1,Privado,Física,ASCENSION,BUENOS AIRES,Femenino,1995,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1996-04-09,13032,MAIPU Nº 2,Mendoza,Nacional,1996,12,SEDAN 4 PTAS,37,RENAULT,AB,RENAULT 9 RL,1,Privado,Física,COQUIMBITO - MAIPU,MENDOZA,No identificado,1976,ARGENTINA,100,50,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2006-09-25,1062,MERLO Nº 1,Buenos Aires,Importado,2007,02,SEDAN 4 PTAS,136,VOLKSWAGEN,365,VOLKSWAGEN VENTO 2.5,1,Privado,Física,MERLO,BUENOS AIRES,Masculino,1976,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1997-05-16,1065,MORON Nº 02,Buenos Aires,Importado,1997,05,SEDAN 5 PTAS,136,VOLKSWAGEN,131,GOLF GLX 2.0,1,Privado,Física,CASTELAR,BUENOS AIRES,Masculino,2006,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2008-11-13,1077,QUILMES Nº 1,Buenos Aires,Nacional,2008,18,SEDAN 3 PTAS,37,RENAULT,UJ,CLIO 3 PTAS PACK,1,Privado,Física,BERNAL,BUENOS AIRES,No identificado,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-11-05,1077,QUILMES Nº 1,Buenos Aires,Importado,2012,02,SEDAN 4 PUERTAS,024,CHEVROLET,573,AVEO G3 LT 1.6N M/T,1,Privado,Física,BERNAL,BUENOS AIRES,No identificado,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2019-07-01,1100,TRES DE FEBRERO Nº 1,Buenos Aires,Protocolo 21,2019,02,SEDAN 4 PUERTAS,130,TOYOTA,869,COROLLA XLI 1.8 6M/T,1,Privado,Física,CASEROS,BUENOS AIRES,Masculino,1973,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-06-14,1103,ZARATE Nº 1,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,53,VOLKSWAGEN,SE,SURAN 1.6L 5D 766,1,Privado,Física,ZARATE,BUENOS AIRES,Masculino,1965,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-07-06,1113,SAN VICENTE,Buenos Aires,Protocolo 21,2012,05,SEDAN 5 PUERTAS,027,CITROEN,245,C3 PICASSO 1.6I 16V EXCLUSIVE,1,Privado,Física,SAN VICENTE,BUENOS AIRES,Femenino,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2011-08-26,1115,MORON Nº 01,Buenos Aires,Protocolo 21,2011,05,SEDAN 5 PTAS,027,CITROEN,188,XSARA PICASSO 1.6I 16V EXCLUSIVE,1,Privado,Física,MORON,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1998-09-30,1127,LA PLATA Nº 05,Buenos Aires,Nacional,1998,20,FURGON TERMIC/ EQUIPO D FRIO,37,RENAULT,BF,TRAFIC RODEO C/CAJA C/DA.,1,Privado,Física,LA PLATA,BUENOS AIRES,Masculino,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2007-04-09,1133,SAN MIGUEL Nº 3,Buenos Aires,Protocolo 21,2007,13,FURGON,112,RENAULT,565,MASTER DCI 120 LARGO / 2007,1,Privado,Física,MUÑIZ,BUENOS AIRES,No identificado,1963,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2004-04-20,1143,BAHIA BLANCA Nº 4,Buenos Aires,Nacional,2004,17,SEDAN 5 PTAS,34,PEUGEOT,CK,206 XR PREMIUM 1.6 5P,1,Privado,Física,BAHIA BLANCA,BUENOS AIRES,Femenino,1978,ARGENTINA,100,06,200
COMUNICACIÓN DE RECUPERO,2026-01-02,2015-09-28,21024,SANTA FE Nº 2,Santa Fe,Protocolo 21,2015,05,SEDAN 5 PUERTAS,130,TOYOTA,857,ETIOS XS 1.5 M/T,1,Privado,Física,SANTA FE,SANTA FE,Femenino,1943,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2007-08-17,21048,SAN LORENZO Nº 2,Santa Fe,Protocolo 21,2007,02,SEDAN 4 PTAS,044,FIAT,659,SIENA 1.4 FIRE,1,Privado,Física,CAPITAN BERMUDEZ,SANTA FE,Masculino,1946,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2008-01-25,21049,ROSARIO Nº 11,Santa Fe,Protocolo 21,2008,02,SEDAN 4 PTAS,044,FIAT,606,SIENA ELX 1.7 TD,1,Privado,Física,ROSARIO,SANTA FE,No identificado,1989,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2004-07-14,21049,ROSARIO Nº 11,Santa Fe,Nacional,2004,17,SEDAN 5 PTAS,19,FORD,PV,FOCUS AMBIENTE 5P 1.8L TD,1,Privado,Física,ROSARIO,SANTA FE,No identificado,1987,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2024-09-13,1146,MERLO Nº 2,Buenos Aires,Nacional,2024,12,SEDAN 4 PUERTAS,17,FIAT,CP,CRONOS DRIVE 1.3 GSE BZ,1,Privado,Física,MERLO,BUENOS AIRES,Masculino,1995,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2006-03-01,1153,LA MATANZA Nº 05,Buenos Aires,Nacional,2006,17,SEDAN 5 PTAS,37,RENAULT,PB,"KANGOO SL MONTAGNE M 1,9",1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Masculino,1984,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-11-23,1153,LA MATANZA Nº 05,Buenos Aires,Importado,2012,,SEDAN 5 PUERTAS,136,VOLKSWAGEN,495,GOL TREND 1.6 GP,1,Privado,Física,ISIDRO CASANOVA,BUENOS AIRES,Femenino,1979,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2024-02-26,1158,TRES DE FEBRERO Nº 3,Buenos Aires,Nacional,2024,22,FURGON,34,PEUGEOT,SJ,PARTNER CONFORT 1.6 HDI 92 AM22.5,1,Privado,Física,VILLA BOSCH,BUENOS AIRES,Femenino,1972,PARAGUAY,50,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2021-06-15,1160,SAN MARTIN Nº 4,Buenos Aires,Nacional,2021,20,PICK-UP,53,VOLKSWAGEN,8D,AMAROK DC V6 EXTREME 3.0L 258 CV TDI 4X4 AT,1,Privado,Física,JOSE LEON SUAREZ,BUENOS AIRES,Masculino,1975,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2013-01-02,1161,ESTEBAN ECHEVERRIA Nº 2,Buenos Aires,Nacional,2013,17,SEDAN 5 PTAS,34,PEUGEOT,MA,207 COMPACT ALLURE 1.4 N 5P,1,Privado,Física,NUEVE DE ABRIL,BUENOS AIRES,Femenino,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2019-09-13,1170,NECOCHEA Nº 2,Buenos Aires,Nacional,2019,20,PICK-UP,68,TOYOTA,97,HILUX 4X4 D/C DX 2.4 TDI 6 M/T,1,Privado,Física,NECOCHEA,BUENOS AIRES,Femenino,1970,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2016-10-18,1172,TANDIL Nº 2,Buenos Aires,Protocolo 21,2016,02,SEDAN 4 PUERTAS,024,CHEVROLET,615,PRISMA 1.4 N LTZ,1,Privado,Física,TANDIL,BUENOS AIRES,Masculino,1985,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2007-07-24,1179,SAN MARTIN Nº 5,Buenos Aires,Protocolo 21,2007,17,CHASIS C/CABINA,092,MERCEDES BENZ,168,OF-1418,1,Privado,Física,VILLA MAIPÚ,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-10-18,1179,SAN MARTIN Nº 5,Buenos Aires,Nacional,2012,17,SEDAN 5 PUERTAS,19,FORD,VX,FOCUS TREND 1.6L NAFTA,1,Privado,Física,CIUDAD DEL LIB. GRAL. JOSÉ DE SAN MARTÍN,BUENOS AIRES,Femenino,1951,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2000-01-28,21074,SANTA FE Nº 7,Santa Fe,Nacional,2000,12,SEDAN 4 PTAS,37,RENAULT,EA,RENAULT 19 INJECTION C/AA,1,Privado,Física,SANTA FE,SANTA FE,Masculino,1967,ARGENTINA,100,82,200
COMUNICACIÓN DE RECUPERO,2026-01-02,2011-11-25,1188,LA PLATA Nº 07,Buenos Aires,Protocolo 21,2011,04,RURAL 5 PTAS,112,RENAULT,835,DUSTER EXPRESSION 1.6 4X2,1,Privado,Jurídica,LA PLATA,BUENOS AIRES,No aplica,1946,No aplica,100,06,
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2017-03-15,1189,FLORENCIO VARELA Nº 2,Buenos Aires,Nacional,2017,22,FURGON,34,PEUGEOT,KG,PARTNER CONFORT 1.6 HDI,1,Privado,Física,FLORENCIO VARELA,BUENOS AIRES,Masculino,1984,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2001-02-23,1193,LUJAN Nº 2,Buenos Aires,Importado,2001,14,CAMION,058,HYUNDAI,118,HD72,1,Privado,Física,LUJÁN,BUENOS AIRES,Femenino,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2017-05-16,1196,LA PLATA Nº 08,Buenos Aires,Nacional,2017,17,SEDAN 5 PUERTAS,17,FIAT,AY,PALIO (326) ATTRACTIVE 5P 1.4 8V,1,Privado,Física,LA PLATA,BUENOS AIRES,Femenino,1981,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2001-10-19,1197,SAN ISIDRO Nº 06,Buenos Aires,Nacional,2001,18,SEDAN 3 PTAS,53,VOLKSWAGEN,52,GOL 1.9 SD 01B,1,Privado,Física,SAN ISIDRO,BUENOS AIRES,Masculino,1977,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2022-03-02,1197,SAN ISIDRO Nº 06,Buenos Aires,Nacional,2022,12,SEDAN 4 PUERTAS,17,FIAT,CK,CRONOS PRECISION 1.8 MT,1,Privado,Física,BOULOGNE,BUENOS AIRES,Masculino,1982,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1999-07-20,1198,SAN ISIDRO Nº 07,Buenos Aires,Importado,1999,10,TODO TERRENO,055,HONDA,730,CRV SI,1,Privado,Física,SAN ISIDRO,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1994-01-04,21075,SAN LORENZO Nº 4,Santa Fe,Nacional,1994,12,SEDAN 4 PUERTAS,37,RENAULT,80,RENAULT 9 GTL,1,Privado,Física,ROLDAN,SANTA FE,Masculino,1983,ARGENTINA,100,82,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2008-07-25,1209,BERAZATEGUI Nº 3,Buenos Aires,Protocolo 21,2008,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,RANELAGH,BUENOS AIRES,No identificado,1972,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2014-04-07,1211,QUILMES Nº 6,Buenos Aires,Nacional,2014,12,SEDAN 4 PUERTAS,08,CHEVROLET,DX,CLASSIC 4 P LS ABS+AIRBAG 1.4N,1,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1963,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2025-03-25,1220,AVELLANEDA Nº 6,Buenos Aires,Protocolo 21,2025,04,RURAL 5 PUERTAS,027,CITROEN,672,C3 AIRCROSS T200 FEEL P7 MY24.5,1,Privado,Física,GERLI,BUENOS AIRES,Femenino,1982,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2024-01-22,1221,PILAR Nº 2,Buenos Aires,Nacional,2024,17,SEDAN 5 PUERTAS,37,RENAULT,5R,STEPWAY INTENS 1.6,1,Privado,Física,PILAR,BUENOS AIRES,Masculino,1968,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2006-10-31,1224,MERLO Nº 3,Buenos Aires,Nacional,2006,20,PICK-UP,68,TOYOTA,22,HILUX 4X2 CABINA DOBLE DX 2.5 TD,1,Privado,Física,SAN ANTONIO DE PADUA,BUENOS AIRES,No identificado,1967,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2014-06-02,1224,MERLO Nº 3,Buenos Aires,Nacional,2014,12,SEDAN 4 PUERTAS,17,FIAT,AZ,SIENA (F4) EL 1.4 8V,1,Privado,Física,S.A.DE PADUA,BUENOS AIRES,Femenino,1958,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1995-03-31,1225,SAN MARTIN Nº 7,Buenos Aires,Nacional,1995,22,PICK UP,19,FORD,17,F-150 DIESEL,1,Privado,Física,GENERAL SAN MARTIN,BUENOS AIRES,Masculino,1949,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2015-06-29,1226,LA MATANZA Nº 09,Buenos Aires,Importado,2015,12,FAMILIAR,044,FIAT,812,QUBO 1.4 8V TREKKING,1,Privado,Física,GONZALEZ  CATAN,BUENOS AIRES,Femenino,1982,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-05-21,1226,LA MATANZA Nº 09,Buenos Aires,Nacional,2012,12,SEDAN 4 PTAS,08,CHEVROLET,DK,CLASSIC 4 PTAS LT SPIRIT 1.4N,1,Privado,Física,GONZALEZ  CATAN,BUENOS AIRES,Femenino,1974,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2011-09-29,1226,LA MATANZA Nº 09,Buenos Aires,Protocolo 21,2011,04,RURAL 5 PTAS,047,FORD,597,ECOSPORT 1.6 L 4X2 XL PLUS,1,Privado,Física,GONZÁLEZ CATÁN,BUENOS AIRES,Femenino,1990,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2008-08-14,1226,LA MATANZA Nº 09,Buenos Aires,Protocolo 21,2008,05,SEDAN 5 PUERTAS,044,FIAT,666,PUNTO HLX 1.8,1,Privado,Física,GREGORIO LAFERRERE,BUENOS AIRES,Masculino,1967,CHILE,100,06,208
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-04-26,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,53,VOLKSWAGEN,PF,SURAN 1.6L 5D 21C,1,Privado,Física,LAFERRERE-LA MATANZA,BUENOS AIRES,No identificado,1973,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2011-01-19,1227,LA MATANZA Nº 10,Buenos Aires,Nacional,2011,17,SEDAN 5 PTAS,08,CHEVROLET,DH,CLASSIC WAGON LT 1.4N,1,Privado,Física,GREGORIO DE LAFERRERE,BUENOS AIRES,Masculino,1987,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2014-06-04,1231,TRES DE FEBRERO Nº 5,Buenos Aires,Nacional,2014,17,SEDAN 5 PTAS,37,RENAULT,ZU,CLIO MIO 5P CONFORT PLUS ABS ABCP,1,Privado,Física,SANTOS LUGARES,BUENOS AIRES,Masculino,1965,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2011-06-30,15010,PLOTTIER Nº 1,Neuquén,Nacional,2011,17,SEDAN 5 PTAS,34,PEUGEOT,FD,307 XS 1.6 5P 110CV,1,Privado,Física,PLOTTIER,NEUQUEN,Femenino,1981,ARGENTINA,100,58,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2008-01-30,1244,LA MATANZA Nº 11,Buenos Aires,Protocolo 21,2008,81,PICK-UP CABINA Y MEDIA,044,FIAT,652,STRADA ADVENTURE 1.8MPI 8V,1,Privado,Física,RAMOS MEJIA,BUENOS AIRES,Masculino,1992,ARGENTINA,100,06,200
COMUNICACIÓN DE RECUPERO,2026-01-02,2010-07-30,16002,CHOELE CHOEL,Río Negro,Nacional,2010,17,SEDAN 5 PTAS,53,VOLKSWAGEN,LX,SURAN 90B,1,Privado,Física,LUIS BELTRÁN,RIO NEGRO,Femenino,1990,ARGENTINA,100,62,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2004-11-05,1252,QUILMES Nº 5 (EX 9),Buenos Aires,Nacional,2004,20,PICK-UP,68,TOYOTA,10,HILUX 4X2 CABINA DOBLE DX 3.0 D,1,Privado,Física,QUILMES,BUENOS AIRES,Masculino,1968,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2018-01-10,1256,TRES DE FEBRERO Nº 6,Buenos Aires,Protocolo 21,2018,02,SEDAN 4 PUERTAS,136,VOLKSWAGEN,578,VOYAGE 1.6 MSI,1,Privado,Física,PABLO PODESTA,BUENOS AIRES,Femenino,1967,PARAGUAY,100,06,221
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1998-03-09,1264,ADROGUE Nº 5,Buenos Aires,Protocolo 21,1998,22,SEDAN 3 PUERTAS,136,VOLKSWAGEN,202,GOL GL 1.6 MI,1,Privado,Física,GLEW,BUENOS AIRES,Masculino,1973,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-03-06,1271,JOSE C. PAZ Nº 2,Buenos Aires,Nacional,2012,16,FURGON VIDRIADO C/ASIENTOS,34,PEUGEOT,KE,PARTNER CONFORT 1.4,1,Privado,Física,JOSÉ C. PAZ,BUENOS AIRES,No identificado,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2010-11-04,1273,MORENO Nº 4,Buenos Aires,Protocolo 21,2010,22,SEDAN 3 PTAS,047,FORD,814,KA FLY PLUS 1.0L,1,Privado,Física,MORENO,BUENOS AIRES,Masculino,1989,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2008-05-05,1278,ZARATE Nº 3,Buenos Aires,Nacional,2008,12,SEDAN 4 PTAS,07,CITROEN,45,C4 2.0 HDI SX,1,Privado,Física,ZARATE,BUENOS AIRES,Femenino,1974,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-09-18,1285,ESTEBAN ECHEVERRIA Nº 4,Buenos Aires,Nacional,2012,17,SEDAN 5 PTAS,53,VOLKSWAGEN,TI,SURAN 1.6L 5D 768,1,Privado,Física,MONTE GRANDE,BUENOS AIRES,Femenino,1990,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2012-04-26,1287,ITUZAINGO Nº 3,Buenos Aires,Protocolo 21,2012,05,SEDAN 5 PTAS,136,VOLKSWAGEN,463,GOL 1.4 L,1,Privado,Física,PARQUE LELOIR,BUENOS AIRES,No identificado,1974,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,1995-12-06,1287,ITUZAINGO Nº 3,Buenos Aires,Nacional,1995,22,FURGON,37,RENAULT,34,RENAULT TRAFIC,1,Privado,Física,CASTELAR,BUENOS AIRES,Masculino,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2011-04-13,1293,PILAR Nº 4,Buenos Aires,Importado,2011,05,SEDAN 5 PUERTAS,047,FORD,908,FIESTA KINETIC DESIGN TITANIUM,1,Privado,Física,VILLA ROSA,BUENOS AIRES,Femenino,1988,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2008-04-04,1318,BERAZATEGUI Nº 5,Buenos Aires,Protocolo 21,2008,05,SEDAN 5 PTAS,136,VOLKSWAGEN,274,GOL 1.6,1,Privado,Física,HUDSON,BUENOS AIRES,Masculino,1991,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2016-07-25,1319,LA MATANZA Nº 15,Buenos Aires,Protocolo 21,2016,05,SEDAN 5 PUERTAS,044,FIAT,689,PALIO FIRE 1.4,1,Privado,Física,GONZÁLEZ CATÁN,BUENOS AIRES,No identificado,1983,ARGENTINA,100,06,200
DENUNCIA DE ROBO O HURTO / RETENCION INDEBIDA,2026-01-02,2008-07-31,2005,CAPITAL FEDERAL Nº 005,Ciudad Autónoma de Buenos Aires,Nacional,2008,12,SEDAN 4 PTAS,07,CITROEN,45,C4 2.0 HDI SX,1,Privado,Física,C.AUTONOMA DE BS.AS,C.AUTONOMA DE BS.AS,Masculino,1972,ARGENTINA,100,02,200
